Start date,End date,Duration [d],Mean catchment precipitation depth - IMERG [mm],Mean catchment precipitation depth - ERA5 [mm],Centre of mass coordinate - IMERG [°N/°E],Centre of mass coordinate - ERA5 [°N/°E],Maximum precipitation coordinate - IMERG [°N/°E],Maximum precipitation coordinate - ERA5 [°N/°E]
20031016_00,20031017_00,1,2.2,0.4,32.45/-2.95,32.5/-3.5,32.55/-3.75,32.5/-4
20031023_00,20031024_00,1,5.4,6.6,31.65/-1.85,32/-2,33.05/-2.85,32.5/-4
20031027_00,20031028_00,1,3.4,1,31.05/-1.95,31.5/-2,30.35/-2.25,31/-2
20031111_00,20031112_00,1,4.3,1.3,30.95/-1.05,31/-1.5,30.75/-1.95,32.5/-1
20031116_00,20031117_00,1,3.8,0.9,31.75/-1.75,32/-2,32.65/-1.35,32.5/-1
20031118_00,20031119_00,1,4.2,3.5,31.95/-2.15,32/-2,32.25/-1.95,32.5/-1.5
20031123_00,20031124_00,1,1.2,2.1,32.55/-2.75,32.5/-2.5,33.05/-2.85,32.5/-3
20040220_00,20040222_00,2,6.4,4.1,32.15/-2.45,32.5/-3,32.65/-2.95,32.5/-3.5
20040328_00,20040329_00,1,5.4,2.7,31.25/-1.15,31/-1.5,31.85/-0.45,30/-0.5
20040407_00,20040409_00,2,3.2,0.2,32.45/-2.65,32.5/-3,32.65/-2.95,32.5/-4
20040415_00,20040416_00,1,8.9,5,31.15/-1.35,30.5/-1,30.85/-0.15,29/-1
20040418_00,20040419_00,1,1.7,0.1,29.95/-1.35,29/-1,29.35/-1.55,29/-1
20040429_00,20040430_00,1,0.6,0.1,32.65/-3.25,32.5/-3,32.75/-3.15,32.5/-3.5
20040517_00,20040519_00,2,3.6,1.1,32.55/-1.75,32.5/-2.5,32.85/-2.35,32.5/-4
20040525_00,20040527_00,2,12.4,7.6,31.65/-2.05,32/-3,30.25/-0.45,32.5/-4
20040910_00,20040912_00,2,5.6,1,32.15/-1.85,32.5/-2.5,32.15/-0.55,32.5/-3.5
20040913_00,20040914_00,1,1.5,0.8,32.35/-3.05,32.5/-2.5,32.25/-3.95,32.5/-1
20041009_00,20041010_00,1,2.1,0.1,31.95/-2.75,32.5/-3,32.55/-3.85,32.5/-4
20041111_00,20041112_00,1,3.4,2.9,30.45/-1.65,30.5/-1.5,31.25/-1.85,30/-2
20041122_00,20041123_00,1,3.3,0,31.65/-2.05,30/-1,30.45/-2.55,30/-1
20041206_00,20041207_00,1,1.8,1.1,30.95/-2.75,31.5/-2,30.75/-2.75,31/-2
20041224_00,20041226_00,2,7.1,8.1,31.85/-1.95,31.5/-2,31.85/-2.05,31/-3
20050225_00,20050226_00,1,1.5,0.5,32.15/-2.55,32.5/-3,32.05/-2.25,32.5/-4
20050303_00,20050304_00,1,5.7,0.4,31.95/-2.55,32/-2,32.55/-2.95,32.5/-1
20050609_00,20050610_00,1,3,0.7,31.65/-2.45,32.5/-2,32.15/-3.25,32.5/-1
20050611_00,20050612_00,1,4.3,1,31.55/-2.15,32/-2.5,32.55/-3.85,32.5/-4
20050823_00,20050824_00,1,0.5,0.6,32.75/-0.65,32.5/-1.5,32.85/-0.35,32.5/-0.5
20050916_00,20050917_00,1,3.9,0.2,32.25/-1.85,32.5/-2.5,33.05/-0.25,32.5/-4
20050926_00,20050929_00,3,12.8,19.1,31.75/-1.65,31.5/-1.5,32.95/-0.65,30.5/-1.5
20051010_00,20051011_00,1,2.3,0.4,32.35/-1.45,32.5/-3,32.25/-0.85,32.5/-4
20051018_00,20051019_00,1,4.6,0.8,32.05/-1.65,32/-3,31.25/-0.35,32.5/-4
20051111_00,20051112_00,1,6.4,6,32.45/-1.55,32.5/-2,32.95/-0.35,32.5/-1
20051123_00,20051124_00,1,6.5,6.7,31.25/-1.85,31.5/-2,32.15/-0.55,32.5/-0.5
20051130_00,20051201_00,1,0.8,1.9,30.05/-1.35,31/-2,29.85/-2.05,30.5/-2
20060107_00,20060108_00,1,8.7,6.8,31.65/-2.15,32/-2,32.05/-2.75,32.5/-2.5
20060116_00,20060118_00,2,14.9,12.8,31.15/-2.25,31.5/-2.5,30.45/-2.75,32.5/-3
20060126_00,20060127_00,1,4,2.5,30.55/-1.55,31/-2,29.85/-1.65,30.5/-2.5
20060212_00,20060213_00,1,1.4,4.3,31.25/-2.45,31/-2,31.25/-3.55,30.5/-2
20060411_00,20060412_00,1,5.8,0.5,32.15/-1.55,32.5/-2.5,32.15/-0.95,32.5/-2
20060501_00,20060502_00,1,3.4,0.2,31.35/-1.75,32/-1.5,30.65/-2.45,32.5/-2
20060507_00,20060508_00,1,3.6,0.7,32.35/-1.25,32/-2,32.75/-0.25,32/-2
20060512_00,20060513_00,1,1.1,0,32.35/-2.35,32/-2.5,32.85/-2.05,32.5/-3.5
20060525_00,20060528_00,3,10,14.9,31.55/-2.35,31.5/-2.5,32.65/-3.55,32.5/-4
20060531_00,20060601_00,1,1.7,0.5,32.15/-2.75,32.5/-3.5,32.85/-1.15,32.5/-4
20060910_00,20060914_00,4,23.3,26.3,31.45/-2.05,32/-2,31.65/-2.25,32/-2
20061026_00,20061028_00,2,19.6,14,31.75/-2.35,32/-2.5,32.35/-2.35,32.5/-4
20061107_00,20061108_00,1,6.1,4.8,31.95/-2.45,32/-2.5,31.95/-3.85,32.5/-4
20061126_00,20061127_00,1,3.5,1.2,31.65/-1.95,32/-3,31.25/-3.05,32.5/-4
20061203_00,20061204_00,1,1.2,0.8,32.55/-1.35,32.5/-2,32.45/-1.05,32.5/-2
20061210_00,20061211_00,1,5.1,3.3,31.95/-2.55,32.5/-3,32.15/-4.05,32.5/-4
20061212_00,20061213_00,1,5.6,4.7,31.85/-1.65,32/-2,31.85/-0.55,32/-0.5
20070129_00,20070130_00,1,4.1,2.3,31.65/-2.35,32/-2,32.35/-3.25,32.5/-1
20070422_00,20070424_00,2,4.1,2.1,32.25/-2.95,32.5/-3,31.85/-3.55,32.5/-4
20070426_00,20070429_00,3,23.5,20.2,31.95/-1.95,32/-2,32.45/-0.45,32.5/-4
20070712_00,20070713_00,1,2.7,0.4,32.15/-2.15,32/-2.5,32.75/-2.05,32.5/-4
20070810_00,20070811_00,1,2,0.4,32.35/-1.55,32.5/-2.5,32.75/-0.35,32.5/-4
20071002_00,20071004_00,2,6.9,1.3,32.25/-2.05,32/-2.5,32.05/-0.45,32.5/-2.5
20071012_00,20071015_00,3,10.4,0.9,31.85/-2.15,32/-2.5,31.55/-0.45,32.5/-4
20071017_00,20071021_00,4,15.1,4.6,32.05/-1.45,32/-1.5,32.65/-0.65,32.5/-0.5
20071025_00,20071026_00,1,1.4,0.4,32.45/-2.25,32.5/-2,32.65/-3.25,32.5/-1
20071028_00,20071029_00,1,2.8,0.6,31.95/-1.95,32/-2,31.45/-2.25,32.5/-2
20071124_00,20071125_00,1,3.5,1.8,32.15/-2.75,32/-3,32.45/-2.95,32.5/-3.5
20071223_00,20071224_00,1,12.5,3.6,31.75/-1.95,32/-2.5,32.45/-0.95,31/-3
20080103_00,20080104_00,1,2.8,0.9,32.05/-2.15,32.5/-2.5,32.55/-3.95,32.5/-4
20080213_00,20080215_00,2,13,11.6,31.75/-2.25,31.5/-2.5,31.75/-1.95,32/-3.5
20080223_00,20080224_00,1,5.4,1.8,31.65/-2.45,32/-3,31.25/-2.65,32.5/-3.5
20080321_00,20080322_00,1,6.3,3.6,31.55/-2.35,32/-2.5,31.45/-2.85,32.5/-4
20080508_00,20080509_00,1,2.5,0.2,32.15/-2.05,32.5/-3,32.85/-0.65,32.5/-1.5
20080912_00,20080913_00,1,3.5,0.8,32.15/-1.25,31.5/-2,31.95/-0.55,32.5/-2
